player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Crowe, Trace",27780,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-T39_pga-isco championship-CUT_pga-corales puntacana championship-T34_pga-3m open-T62,-0.94,-0.74
"Rodgers, Patrick",16283,pga,pga,pga-the cj cup byron nelson-T47_pga-charles schwab challenge-T60_pga-the memorial tournament presented by workday-T49_major-u.s. open-71_pga-3m open-CUT,-0.94,-1.1
"Tosti, Alejandro",17032,pga,pga,major-u.s. open-CUT_pga-john deere classic-CUT_pga-isco championship-T30_pga-corales puntacana championship-T69_pga-3m open-CUT,-1.03,0.5
"Olesen, Thorbjorn",13412,pga,pga,pga-charles schwab challenge-T67_pga-rbc canadian open-CUT_pga-john deere classic-CUT_pga-genesis scottish open-CUT_pga-3m open-CUT,-1.05,-1.35
"Riley, Davis",19872,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-T65_pga-genesis scottish open-69_pga-corales puntacana championship-T42_pga-3m open-CUT,-1.07,0.16
"Lebioda, Hank",21943,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-CUT_pga-isco championship-CUT_pga-corales puntacana championship-T69_pga-3m open-T24,-1.07,-0.47
"Lower, Justin",17723,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-CUT_pga-isco championship-T59_pga-corales puntacana championship-T42_pga-3m open-CUT,-1.08,-0.08
"Ramey, Chad",19840,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-CUT_pga-isco championship-T30_pga-corales puntacana championship-T62_pga-3m open-CUT,-1.09,-0.98
"Davis, Cam",17786,pga,pga,pga-the cj cup byron nelson-CUT_pga-charles schwab challenge-CUT_pga-rbc canadian open-CUT_pga-genesis scottish open-T21_pga-3m open-CUT,-1.22,0.25
"VanDerLaan, John",25319,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-CUT_pga-isco championship-CUT_pga-corales puntacana championship-T30_pga-3m open-T39,-1.22,-0.69
"Whaley, Vince",25908,pga,pga,pga-rbc canadian open-T65_pga-john deere classic-CUT_pga-isco championship-CUT_pga-corales puntacana championship-CUT_pga-3m open-T34,-1.27,-1.1
"Highsmith, Joe",28469,pga,pga,pga-rbc canadian open-70_pga-john deere classic-CUT_pga-genesis scottish open-CUT_pga-corales puntacana championship-T6_pga-3m open-CUT,-1.3,0.07
"Blanchet, Chandler",24956,pga,pga,pga-rbc canadian open-T67_pga-john deere classic-CUT_pga-isco championship-CUT_pga-corales puntacana championship-CUT_pga-3m open-T24,-1.32,-1.09
"Sargent, Gordon",30814,pga,pga,pga-the cj cup byron nelson-CUT_pga-john deere classic-78_pga-isco championship-CUT_pga-corales puntacana championship-T2_pga-3m open-CUT,-1.34,-0.1
"Svensson, Adam",13997,pga,pga,pga-rbc canadian open-T60_pga-john deere classic-CUT_pga-isco championship-T66_pga-corales puntacana championship-CUT_pga-3m open-CUT,-1.35,-0.83
"Campos, Rafael",12909,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-T67_pga-isco championship-T15_pga-corales puntacana championship-CUT_pga-3m open-CUT,-1.49,0.09
"Campbell, Brian",18628,pga,pga,pga-rbc canadian open-CUT_pga-travelers championship-T47_pga-john deere classic-CUT_pga-genesis scottish open-CUT_pga-3m open-CUT,-1.5,-0.34
"Malnati, Peter",14926,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-T58_pga-isco championship-CUT_pga-corales puntacana championship-T34_pga-3m open-CUT,-1.54,-0.57
"Rozo, Marcelo",16591,pga,pga,major-u.s. open-CUT_pga-john deere classic-CUT_pga-isco championship-CUT_pga-corales puntacana championship-CUT_pga-3m open-CUT,-1.62,-0.18
"Hirata, Kensei",20954,pga,pga,pga-rbc canadian open-T71_pga-john deere classic-CUT_pga-isco championship-CUT_pga-corales puntacana championship-CUT_pga-3m open-CUT,-1.78,-0.61
"Schenk, Adam",19477,pga,pga,pga-charles schwab challenge-T74_pga-rbc canadian open-CUT_pga-john deere classic-CUT_pga-isco championship-CUT_pga-3m open-CUT,-1.94,-0.71
"Walker, Danny",25003,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-CUT_pga-isco championship-T39_pga-corales puntacana championship-CUT_pga-3m open-CUT,-2.15,-0.84
"Todd, Brendon",12425,pga,pga,kft-club car championship at the landings golf  athletic club-T65_pga-valero texas open-CUT_pga-oneflight myrtle beach classic-T67_pga-john deere classic-CUT_pga-isco championship-CUT,-2.21,0.4
"Lamprecht, Christo",24343,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-CUT_pga-isco championship-T64_pga-corales puntacana championship-CUT_pga-3m open-CUT,-2.75,-1.63
"Kizzire, Patton",13470,pga,pga,pga-charles schwab challenge-CUT_pga-rbc canadian open-CUT_pga-john deere classic-CUT_pga-isco championship-T39_pga-3m open-WD,-3.02,-1.93
