event_name,course_name,player_name,dg_id,player_num,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
3M Open,TPC Twin Cities,"Highsmith, Joe",28469,60067,7:29 AM,early,1,12:44 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Hirata, Kensei",20954,49120,2:01 PM,late,1,8:46 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Hodges, Lee",25157,54628,6:45 AM,early,10,12:00 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Hoey, Rico",23504,51696,7:07 AM,early,10,12:22 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Hoffman, Charley",5768,12716,12:55 PM,late,1,7:40 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Hoge, Tom",15575,35532,12:00 PM,late,10,6:45 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Hojgaard, Rasmus",23838,52686,6:45 AM,early,1,12:00 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Homa, Max",17538,39977,7:18 AM,early,10,12:33 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Horschel, Billy",11276,29420,12:33 PM,late,1,7:18 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Hossler, Beau",15470,35461,8:13 AM,early,10,1:28 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Hubbard, Mark",16333,36801,7:07 AM,early,1,12:22 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Hughes, Mackenzie",15556,35506,6:45 AM,early,1,12:00 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Im, Sungjae",17488,39971,7:29 AM,early,10,12:44 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Jaeger, Stephan",16394,36799,7:40 AM,early,1,12:55 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"James, Ben",29827,57869,8:24 AM,early,10,1:39 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Jarvis, Casey",26947,57688,12:55 PM,late,1,7:40 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Kanaya, Takumi",19729,47917,12:22 PM,late,1,7:07 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Kang, Jeffrey",21889,47393,8:24 AM,early,1,1:39 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Keefer, Johnny",32457,63454,1:28 PM,late,1,8:13 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Kim, Michael",17543,39975,12:22 PM,late,10,7:07 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Kim, Tom",24766,55182,12:55 PM,late,1,7:40 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Kirk, Chris",12423,30926,7:18 AM,early,1,12:33 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Kitayama, Kurt",21891,48117,12:33 PM,late,1,7:18 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Kizzire, Patton",13470,32757,12:00 PM,late,1,null,null,null,null,null,null,null,null,null,2
